Episodio,AgenteID,Passos,Ganhou,Recompensa
340,2,25,1,197.1
341,1,26,1,-7.6
341,2,26,1,82.2
342,1,26,1,-7.6
342,2,26,1,82.0
343,1,26,1,-2.6
343,2,26,1,197.1
344,1,30,1,-2.9
344,2,30,1,181.65
345,1,24,1,-7.4
345,2,24,1,97.5
346,1,26,1,-2.6
346,2,26,1,82.2
347,1,24,1,-17.4
347,2,24,1,92.4
348,1,24,1,-12.4
348,2,24,1,92.4
349,1,27,1,-12.6
349,2,27,1,191.9
350,1,27,1,-7.7
350,2,27,1,77.1
